norad,name,family,alt_km,inc_deg,raan_deg,a_km,ecc,mass_kg,w_0.004,w_1.0
20625,SL-16 R/B,SL-16,842.2312023686673,70.9989,53.5223,7220.368202368667,0.00124943,9000,0.09732172543624974,0.09287954865442978
16182,SL-16 R/B,SL-16,836.8258288559928,71.0027,254.6567,7214.962828855992,0.00052617,9000,0.0,0.0
28353,SL-16 R/B,SL-16,843.6336415755231,71.0017,347.9773,7221.770641575523,0.00065955,9000,0.09453189752844361,0.09516485551785137
23405,SL-16 R/B,SL-16,840.34699089887,70.9834,106.7321,7218.48399089887,0.00039293,9000,0.10002389765014909,0.09549750447429592
19650,SL-16 R/B,SL-16,838.3358161990664,71.0001,265.6637,7216.472816199066,0.00148725,9000,0.0,0.0
23088,SL-16 R/B,SL-16,842.225106411759,70.9977,185.7269,7220.362106411759,0.0001679,9000,0.09756995120349143,0.09620142030391798
27006,SL-16 R/B,SL-16,995.6430628023364,99.7816,353.3039,7373.780062802336,0.00151213,9000,0.0,0.0
22566,SL-16 R/B,SL-16,841.2475589765172,71.0087,330.0601,7219.384558976517,0.00091777,9000,0.0961923635625973,0.09523131317368154
26070,SL-16 R/B,SL-16,839.4519202992351,71.0009,212.1888,7217.588920299235,0.00166766,9000,0.0,0.0
22285,SL-16 R/B,SL-16,840.7278468011391,71.022,118.9285,7218.864846801139,0.00029302,9000,0.10046287246575747,0.09967601492067724
17590,SL-16 R/B,SL-16,834.9220234431887,71.0032,30.326,7213.059023443188,0.0007065,9000,0.0,0.0
31793,SL-16 R/B,SL-16,842.8150383098773,70.9763,286.704,7220.952038309877,0.00023208,9000,0.09213456802098348,0.09338525591264203
23705,SL-16 R/B,SL-16,840.5780469148058,71.0225,294.8264,7218.715046914805,0.00146357,9000,0.09846406891654944,0.09681618167872472
22220,SL-16 R/B,SL-16,835.9435326678886,71.0012,302.1014,7214.080532667888,0.00150388,9000,0.0,0.0
49051,SL-16 DEB,SL-16,839.2146201064088,71.0208,120.2933,7217.351620106408,0.00040518,9000,0.0,0.0
24298,SL-16 R/B,SL-16,850.991656809083,70.7654,287.9593,7229.128656809083,0.00169315,9000,0.08990735135601323,0.09088605588814416
22353,SL-16 DEB,SL-16,848.0908271212538,70.9666,197.5037,7226.227827121253,0.01127733,9000,0.09256495243768137,0.08938796395736125
22803,SL-16 R/B,SL-16,834.6651385257946,70.9903,124.646,7212.802138525794,0.00160816,9000,0.0,0.0
19120,SL-16 R/B,SL-16,826.5995392358782,71.0128,181.7946,7204.736539235878,0.00212162,9000,0.0,0.0
25400,SL-16 R/B,SL-16,804.8919260190423,98.8372,139.9328,7183.028926019042,0.00105615,9000,0.0,0.0
27386,ENVISAT,ENVISAT,761.5754843822351,98.3841,136.5827,7139.712484382235,0.00013998,7800,0.0,0.0
27001,METEOR-3M,PAY,1003.004951323246,99.8238,12.2687,7381.141951323246,0.00140082,2500,0.0,0.0
24277,MIDORI (ADEOS),PAY,790.3852189061863,98.799,240.1766,7168.522218906186,0.00023136,3560,0.0,0.0
27601,H-2A R/B,H-2A,778.9556194527258,98.3321,141.659,7157.092619452726,0.00701952,3000,0.03574894595022698,0.04216125884595289
15334,SL-12 R/B(2),SL-12,840.0450419788931,71.0038,302.9432,7218.182041978893,0.00054364,2440,0.0,0.0
