cluster,budget_m_s,mode,count_beam,beam_dv_m_s,beam_t_days,count_ub_adaptive,ub_arc_deg,ub_dv_total_m_s,count_flyby_ref,count,offset_km,sweep,anchor_norad,dv_init_m_s,dv_visits_m_s,dv_total_m_s,t_used_days,rate_deg_day
SL-16-like i=71.0 alt=840 n=20,150.0,char,5,123.9,692.0,4,9.723799999999983,133.6,8.0,4,-10.0,-1.0,15334.0,5.153181215487024,65.5426475227916,70.69582873827862,722.3266168695021,0.009308621517478466
SL-8-like i=74.0 alt=763 n=63,150.0,char,6,139.4,696.6,7,15.091099999999983,149.5,13.0,4,-10.0,-1.0,7434.0,5.236185860122866,78.3516289304683,83.58781479059115,630.4191226306325,0.011424988603215391
SL-8-like i=82.9 alt=972 n=201,150.0,char,8,133.4,676.2,8,3.0849000000000046,140.4,13.0,4,-10.0,-1.0,14373.0,5.407659139367027,89.02557287755899,94.43323201692601,724.5718495935337,0.00531137040394275
SL-3-like i=81.2 alt=866 n=30,150.0,char,4,113.2,713.9,4,9.695499999999981,133.2,8.0,3,-25.0,-1.0,13719.0,12.832442236111241,84.70948735004845,97.54192958615968,545.1006873464278,0.012249429889910846
CZ-4-like i=63.4 alt=990 n=6,150.0,char,2,91.5,328.8,2,27.92950000000002,73.7,3.0,2,25.0,1.0,40112.0,12.446146300898242,60.705274714791,73.15142101568924,513.1417794210574,0.050086935539022326
SL-8-like i=65.8 alt=973 n=8,150.0,char,2,93.0,214.3,2,16.8496,32.7,3.0,2,-25.0,-1.0,13260.0,12.553108827948023,77.56975804835301,90.12286687630103,511.1917597792541,0.03420283012072223
CZ-6-like i=86.5 alt=912 n=7,150.0,char,2,91.5,142.7,2,7.464199999999998,69.1,2.0,2,25.0,1.0,64288.0,12.64497744675186,59.3945794317745,72.03955687852635,408.07409145793497,0.004485422560772612
CZ-4-like i=98.5 alt=752 n=74,150.0,char,4,121.6,667.5,3,11.736999999999966,148.3,13.0,2,-50.0,1.0,6218.0,26.416486634693648,79.05394353210035,105.47043016679399,241.85207564965663,0.03077487556246261
CZ-6-like i=89.0 alt=719 n=9,150.0,char,1,5.0,14.0,0,,,0.0,0,,,,,,,,
SCOUT-like i=89.8 alt=830 n=8,150.0,char,2,144.8,89.3,0,,,0.0,0,10.0,-1.0,6180.0,5.153325819327925,0.0,5.153325819327925,0.0,0.031123234898488963
SL-16-like i=71.0 alt=840 n=20,200.0,char,5,123.9,692.0,5,15.397400000000005,184.8,8.0,5,-25.0,-1.0,15334.0,12.903085078026066,168.22131616648218,181.12440124450825,692.8624122593243,0.024779565099859235
SL-8-like i=74.0 alt=763 n=63,200.0,char,6,139.4,696.6,8,17.742800000000017,196.2,17.0,5,25.0,1.0,20433.0,13.042473747858274,161.61406711774333,174.6565408656016,517.8483205131461,0.025941085849888967
SL-3-like i=81.2 alt=866 n=30,200.0,char,4,113.2,713.9,4,18.576,187.1,8.0,4,25.0,1.0,5732.0,12.766186824773484,158.9783472335983,171.74453405837178,723.640527856298,0.012309084502893919
SL-8-like i=82.9 alt=972 n=201,200.0,char,9,196.7,729.2,8,4.385599999999997,187.4,21.0,4,-10.0,-1.0,14373.0,5.407659139367027,89.02557287755899,94.43323201692601,724.5718495935337,0.00531137040394275
CZ-4-like i=63.4 alt=990 n=6,200.0,char,2,91.5,328.8,3,59.930199999999985,181.8,3.0,2,25.0,1.0,40112.0,12.446146300898242,60.705274714791,73.15142101568924,513.1417794210574,0.050086935539022326
SL-8-like i=65.8 alt=973 n=8,200.0,char,3,178.5,691.3,3,57.538099999999986,161.1,3.0,2,-25.0,-1.0,13260.0,12.553108827948023,77.56975804835301,90.12286687630103,511.1917597792541,0.03420283012072223
CZ-6-like i=86.5 alt=912 n=7,200.0,char,2,91.5,142.7,2,7.464199999999998,69.1,2.0,2,25.0,1.0,64288.0,12.64497744675186,59.3945794317745,72.03955687852635,408.07409145793497,0.004485422560772612
CZ-4-like i=98.5 alt=752 n=74,200.0,char,5,173.2,666.8,3,4.368699999999997,150.9,16.0,2,-50.0,1.0,6218.0,26.416486634693648,79.05394353210035,105.47043016679399,241.85207564965663,0.03077487556246261
SCOUT-like i=89.8 alt=830 n=8,200.0,char,2,144.8,89.3,0,,,0.0,1,25.0,-1.0,6180.0,12.863258181610604,162.20996370715616,175.07322188876677,640.082542631104,0.031123234898488963
CZ-6-like i=89.0 alt=719 n=9,200.0,char,1,5.0,14.0,0,,,0.0,0,,,,,,,,
SL-8-like i=74.0 alt=763 n=63,250.0,char,6,139.4,696.6,9,18.72630000000001,240.8,17.0,6,25.0,1.0,14241.0,13.042473747858274,221.404294222763,234.4467679706213,632.2424169451373,0.025941085849888967
SL-16-like i=71.0 alt=840 n=20,250.0,char,6,208.6,695.7,6,16.239199999999983,214.5,8.0,5,-25.0,-1.0,15334.0,12.903085078026066,168.22131616648218,181.12440124450825,692.8624122593243,0.024779565099859235
SL-3-like i=81.2 alt=866 n=30,250.0,char,5,208.5,557.3,5,14.061799999999977,229.1,8.0,4,25.0,1.0,5732.0,12.766186824773484,158.9783472335983,171.74453405837178,723.640527856298,0.012309084502893919
SL-8-like i=82.9 alt=972 n=201,250.0,char,9,196.7,729.2,9,5.015100000000004,234.4,21.0,4,-10.0,-1.0,14373.0,5.407659139367027,89.02557287755899,94.43323201692601,724.5718495935337,0.00531137040394275
CZ-4-like i=98.5 alt=752 n=74,250.0,char,6,238.9,666.8,4,13.194499999999948,224.2,16.0,3,25.0,-1.0,25261.0,13.104153751685388,195.28820079997342,208.3923545516588,650.89528887186,0.02581600046296212
CZ-4-like i=63.4 alt=990 n=6,250.0,char,2,91.5,328.8,3,67.43860000000001,205.5,3.0,2,25.0,1.0,40112.0,12.446146300898242,60.705274714791,73.15142101568924,513.1417794210574,0.050086935539022326
SL-8-like i=65.8 alt=973 n=8,250.0,char,3,178.5,691.3,3,57.538099999999986,161.1,3.0,2,-25.0,-1.0,13260.0,12.553108827948023,77.56975804835301,90.12286687630103,511.1917597792541,0.03420283012072223
CZ-6-like i=86.5 alt=912 n=7,250.0,char,2,91.5,142.7,2,7.464199999999998,69.1,2.0,2,25.0,1.0,64288.0,12.64497744675186,59.3945794317745,72.03955687852635,408.07409145793497,0.004485422560772612
SCOUT-like i=89.8 alt=830 n=8,250.0,char,2,144.8,89.3,0,,,0.0,1,25.0,-1.0,6180.0,12.863258181610604,162.20996370715616,175.07322188876677,640.082542631104,0.031123234898488963
CZ-6-like i=89.0 alt=719 n=9,250.0,char,1,5.0,14.0,0,,,0.0,0,,,,,,,,
SL-8-like i=74.0 alt=763 n=63,150.0,tag,5,143.8,708.1,5,4.2993999999999915,114.2,,4,-10.0,-1.0,7434.0,5.236185860122866,118.35162893046828,123.58781479059115,694.4191226306325,0.011424988603215391
SL-16-like i=71.0 alt=840 n=20,150.0,tag,4,102.3,493.3,4,8.116800000000012,103.1,,3,-10.0,-1.0,15334.0,5.153181215487024,79.09946801873139,84.25264923421841,703.2738537197816,0.009308621517478466
SL-3-like i=81.2 alt=866 n=30,150.0,tag,3,71.1,573.2,3,6.2341999999999995,84.0,,3,-25.0,-1.0,13719.0,12.832442236111241,114.70948735004845,127.54192958615968,593.1006873464278,0.012249429889910846
SL-8-like i=82.9 alt=972 n=201,150.0,tag,6,131.8,672.7,5,3.334299999999999,134.2,,3,-10.0,-1.0,14373.0,5.407659139367027,99.10974116522677,104.51740030459379,662.5278886193432,0.00531137040394275
CZ-4-like i=63.4 alt=990 n=6,150.0,tag,2,111.5,362.2,2,27.92950000000002,95.2,,2,25.0,1.0,40112.0,12.446146300898242,80.705274714791,93.15142101568924,545.1417794210574,0.050086935539022326
SL-8-like i=65.8 alt=973 n=8,150.0,tag,2,113.0,247.5,2,16.8496,53.7,,2,-25.0,-1.0,13260.0,12.553108827948023,97.56975804835301,110.12286687630103,543.1917597792541,0.03420283012072223
CZ-6-like i=86.5 alt=912 n=7,150.0,tag,2,111.5,174.4,2,7.464199999999998,92.0,,2,25.0,1.0,64288.0,12.64497744675186,79.3945794317745,92.03955687852635,440.07409145793497,0.004485422560772612
CZ-4-like i=98.5 alt=752 n=74,150.0,tag,3,85.8,674.8,3,5.977899999999977,99.1,,2,-50.0,1.0,6218.0,26.416486634693648,99.05394353210035,125.47043016679399,273.8520756496566,0.03077487556246261
CZ-6-like i=89.0 alt=719 n=9,150.0,tag,1,15.0,30.0,0,,,,0,,,,,,,,
SCOUT-like i=89.8 alt=830 n=8,150.0,tag,1,15.0,30.0,0,,,,0,10.0,-1.0,6180.0,5.153325819327925,0.0,5.153325819327925,0.0,0.031123234898488963
SL-16-like i=71.0 alt=840 n=20,200.0,tag,5,173.9,724.9,4,9.723799999999983,177.5,,4,-25.0,-1.0,15334.0,12.903085078026066,167.5418856894692,180.44497076749528,402.7548377915523,0.024779565099859235
SL-8-like i=74.0 alt=763 n=63,200.0,tag,5,146.6,687.6,6,6.548400000000015,159.4,,4,-10.0,-1.0,7434.0,5.236185860122866,118.35162893046828,123.58781479059115,694.4191226306325,0.011424988603215391
SL-8-like i=82.9 alt=972 n=201,200.0,tag,7,177.0,575.7,7,2.684100000000001,191.3,,4,25.0,1.0,21398.0,13.468512780378639,183.63835896786173,197.10687174824037,672.5836825701424,0.012986099198054601
SL-3-like i=81.2 alt=866 n=30,200.0,tag,4,176.7,664.3,4,11.084299999999985,199.5,,3,-25.0,-1.0,13719.0,12.832442236111241,114.70948735004845,127.54192958615968,593.1006873464278,0.012249429889910846
CZ-4-like i=63.4 alt=990 n=6,200.0,tag,2,111.5,362.2,2,27.92950000000002,95.2,,2,25.0,1.0,40112.0,12.446146300898242,80.705274714791,93.15142101568924,545.1417794210574,0.050086935539022326
