norad,name,family,alt_km,inc_deg,mass_kg,enter_top10_freq,in_baseline_top10
22285,SL-16 R/B,SL-16,840.7278468011391,71.022,9000,0.459,False
23405,SL-16 R/B,SL-16,840.34699089887,70.9834,9000,0.4545,False
23705,SL-16 R/B,SL-16,840.5780469148058,71.0225,9000,0.449,False
23088,SL-16 R/B,SL-16,842.225106411759,70.9977,9000,0.442,False
20625,SL-16 R/B,SL-16,842.2312023686673,70.9989,9000,0.4415,False
22566,SL-16 R/B,SL-16,841.2475589765172,71.0087,9000,0.4375,False
28353,SL-16 R/B,SL-16,843.6336415755231,71.0017,9000,0.427,False
22353,SL-16 DEB,SL-16,848.0908271212538,70.9666,9000,0.422,False
31793,SL-16 R/B,SL-16,842.8150383098773,70.9763,9000,0.4195,False
24298,SL-16 R/B,SL-16,850.991656809083,70.7654,9000,0.4085,False
27601,H-2A R/B,H-2A,778.9556194527258,98.3321,3000,0.1715,False
25861,SL-16 R/B,SL-16,623.4502085739759,97.9828,9000,0.022,False
25261,ARIANE 40 R/B,ARIANE,770.5482421298348,98.8137,2575,0.0005,False
26070,SL-16 R/B,SL-16,839.4519202992351,71.0009,9000,0.0,True
27006,SL-16 R/B,SL-16,995.6430628023364,99.7816,9000,0.0,False
16182,SL-16 R/B,SL-16,836.8258288559928,71.0027,9000,0.0,True
19650,SL-16 R/B,SL-16,838.3358161990664,71.0001,9000,0.0,True
22220,SL-16 R/B,SL-16,835.9435326678886,71.0012,9000,0.0,True
49051,SL-16 DEB,SL-16,839.2146201064088,71.0208,9000,0.0,True
17590,SL-16 R/B,SL-16,834.9220234431887,71.0032,9000,0.0,True
22803,SL-16 R/B,SL-16,834.6651385257946,70.9903,9000,0.0,True
27386,ENVISAT,ENVISAT,761.5754843822351,98.3841,7800,0.0,True
27001,METEOR-3M,PAY,1003.004951323246,99.8238,2500,0.0,False
25400,SL-16 R/B,SL-16,804.8919260190423,98.8372,9000,0.0,True
19120,SL-16 R/B,SL-16,826.5995392358782,71.0128,9000,0.0,True
38179,CZ-2D DEB,CZ-2,814.5510380714104,98.8297,4000,0.0,False
24279,H-2 R/B,H-2,1081.5255624273768,98.7588,2700,0.0,False
23704,COSMOS 2322,PAY,846.3359420730958,70.9855,3250,0.0,False
8073,SL-8 R/B,SL-8,977.0634072848234,82.8994,1435,0.0,False
28352,COSMOS 2406,PAY,852.0595661202433,70.9953,3250,0.0,False
23087,COSMOS 2278,PAY,844.367841777892,71.0545,3250,0.0,False
24277,MIDORI (ADEOS),PAY,790.3852189061863,98.799,3560,0.0,False
15334,SL-12 R/B(2),SL-12,840.0450419788931,71.0038,2440,0.0,False
27597,MIDORI II (ADEOS-II),PAY,793.8741603596773,98.7886,3680,0.0,False
19119,COSMOS 1943,PAY,839.7166478263371,71.0035,3250,0.0,False
10693,SL-8 R/B,SL-8,972.0272581781456,82.9863,1435,0.0,False
15772,SL-12 R/B(2),SL-12,818.5659749280412,71.1061,2440,0.0,False
17973,COSMOS 1844,PAY,843.7616877806358,70.8981,3250,0.0,False
12682,SL-8 R/B,SL-8,967.7834996985866,82.9154,1435,0.0,False
21257,SL-8 DEB,SL-8,970.3313740585764,82.9204,1435,0.0,False
24773,SL-8 R/B,SL-8,985.3168844298544,82.9209,1435,0.0,False
18403,SL-8 R/B,SL-8,975.1154180312578,82.9191,1435,0.0,False
17755,SL-3 DEB,SL-3,843.3018546669446,81.2543,1100,0.0,False
23604,SL-8 R/B,SL-8,983.2570939842772,82.9023,1435,0.0,False
20624,COSMOS 2082,PAY,842.8274470824863,71.0401,3250,0.0,False
17526,SL-8 R/B,SL-8,973.752114452107,82.9005,1435,0.0,False
9044,SL-8 R/B,SL-8,976.483539269342,82.9872,1435,0.0,False
12782,COSMOS 1275 DEB,OTHER,984.158135751978,82.9987,800,0.0,False
17360,SL-8 R/B,SL-8,974.3200751757668,82.9207,1435,0.0,False
